states,observations
"(33, 0)","[29, 34, 28, 35, 33, 33]"
"(33, 90)","[27, 33, 33]"
"(33, 180)","[32, 33, 33]"
"(33, 270)","[33, 33]"
"(34, 0)","[29, 34, 35, 34]"
"(34, 90)","[34, 28, 34]"
"(34, 180)","[34, 33, 27, 32, 34]"
"(34, 270)","[34, 34]"
"(35, 0)","[35, 35]"
"(35, 90)","[29, 35, 35]"
"(35, 180)","[35, 34, 33, 28, 27, 32, 35]"
"(35, 270)","[35, 35]"
