Run,Trial,enter room,exit room,next room,triage,Mean,,Overall Mean,,Standard Deviation,,Variance
exp-0028,Trial-272,0.5625,0.928571429,1,0.6875,0.794642857,,,,,,
exp-0028,Trial-237,0.527777778,1,0.857142857,0.62962963,0.753637566,,,,,,
exp-0028,Trial-93,0.512195122,1,0.941176471,0.651162791,0.776133596,,,,,,
exp-0028,Trial-215,0.552631579,1,0.9375,0.587301587,0.769358292,,,,,,
exp-0028,Trial-85,0.346153846,1,0.833333333,0.551724138,0.682802829,,,,,,
exp-0029,Trial-178,0.511111111,1,0.846153846,0.307692308,0.666239316,,,,,,
exp-0029,Trial-115,0.552631579,1,1,0.625,0.794407895,,,,,,
exp-0029,Trial-227,0.608695652,0.928571429,0.857142857,0.639344262,0.75843855,,,,,,
exp-0029,Trial-214,0.6,1,0.875,0.633333333,0.777083333,,,,,,
exp-0029,Trial-95,0.375,1,0.916666667,0.619047619,0.727678571,,,,,,
exp-0029,Trial-147,0.413793103,1,1,0.675,0.772198276,,,,,,
exp-0029,Trial-247,0.490196078,1,1,0.7,0.79754902,,,,,,
exp-0029,Trial-224,0.4375,1,0.928571429,0.65625,0.755580357,,,,,,
exp-0029,Trial-264,0.568181818,0.933333333,1,0.610169492,0.777921161,,,,,,
exp-0029,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582,,,,,,
exp-0030,Trial-207,0.48,1,0.833333333,0.72972973,0.760765766,,,,,,
exp-0030,Trial-113,0.5,1,0.857142857,0.603448276,0.740147783,,,,,,
exp-0030,Trial-227,0.608695652,0.928571429,0.857142857,0.639344262,0.75843855,,,,,,
exp-0030,Trial-225,0.638888889,1,0.875,0.666666667,0.795138889,,,,,,
exp-0030,Trial-243,0.538461538,1,1,0.44,0.744615385,,,,,,
exp-0030,Trial-48,0.685714286,1,1,0.725490196,0.85280112,,,,,,
exp-0030,Trial-193,0.657894737,1,0.933333333,0.375,0.741557018,,,,,,
exp-0030,Trial-253,0.555555556,1,1,0.633333333,0.797222222,,,,,,
exp-0030,Trial-228,0.615384615,1,0.8,0.8,0.803846154,,,,,,
exp-0031,Trial-164,0.666666667,1,0.857142857,0.833333333,0.839285714,,,,,,
