Run,enter room,,exit room,,triage,
exp-0004,0.62949395,0.1848673220628064,0.96178836,0.047294581376952124,0.37190518,0.20083672676271594
exp-0009,0.6884333,0.17711433708339563,0.94564396,0.0573052929418797,0.4365372,0.20072352265271323
exp-0008,0.61793625,0.14335202984305995,0.95366776,0.050443678362673244,0.3858957,0.19959964072125122
exp-0006,0.6934784,0.16642577944792086,0.9613771,0.0536745564864628,0.3938841,0.19560864435671724
exp-0001,0.6761905,0.15794989630920478,0.9387508,0.03881509620770191,0.42129472,0.14815531551121194
exp-0002,0.72498214,0.17141003874415373,0.9567595,0.048953460082965944,0.41537508,0.15630944348542772
exp-0007,0.6879221,0.1660328919577974,0.94817483,0.053560078668754084,0.3809322,0.18312036375453877
exp-0003,0.6479351,0.19903501580509309,0.96287405,0.05080919130902739,0.39982563,0.21451607872126863
exp-0005,0.6576118,0.13278440090778743,0.94232386,0.05717933489391291,0.38900152,0.19669635575689948
