states,observations
"(19, 0)","[17, 4, 20, 29, 19, 11, 14, 34, 5, 23, 9, 10, 15, 26, 33, 22, 16, 21, 28, 27]"
"(19, 90)","[6, 0, 19, 2, 9, 4, 7, 13, 1, 14, 3, 8, 12]"
"(19, 180)","[19, 24, 18, 12]"
"(19, 270)","[24, 19, 31, 25, 30, 26, 33, 32]"
"(20, 0)","[17, 20, 29, 11, 5, 23, 10, 15, 22, 16, 21, 28, 27]"
"(20, 90)","[20, 5, 6, 0, 2, 9, 10, 15, 4, 7, 13, 1, 14, 3, 8]"
"(20, 180)","[20, 6, 19, 25, 13, 30, 24, 18, 12]"
"(20, 270)","[20, 31, 25, 34, 30, 26, 33, 27, 32]"
"(21, 0)","[17, 29, 11, 23, 22, 16, 21, 28]"
"(21, 90)","[5, 0, 2, 9, 10, 15, 21, 4, 7, 16, 1, 11, 14, 3, 8]"
"(21, 180)","[20, 31, 6, 0, 19, 25, 21, 7, 13, 30, 24, 14, 18, 26, 12]"
"(21, 270)","[31, 34, 26, 33, 21, 28, 27, 32]"
"(22, 0)","[17, 29, 23, 22]"
"(22, 90)","[5, 22, 17, 2, 9, 10, 15, 4, 16, 1, 11, 3, 8]"
"(22, 180)","[20, 31, 6, 22, 0, 19, 25, 15, 21, 27, 32, 7, 13, 30, 24, 1, 14, 18, 26, 8, 12]"
"(22, 270)","[28, 22]"
"(23, 0)",[23]
"(23, 90)","[5, 17, 2, 9, 10, 4, 23, 16, 11, 3]"
"(23, 180)","[24, 7, 20, 1, 19, 13, 14, 25, 6, 23, 2, 9, 18, 30, 15, 26, 22, 16, 8, 21, 28, 0, 12, 27]"
"(23, 270)","[29, 23]"
"(24, 0)","[17, 24, 4, 20, 19, 31, 11, 14, 25, 34, 5, 23, 9, 10, 15, 26, 33, 22, 16, 21, 28, 27, 32]"
"(24, 90)","[6, 0, 19, 2, 9, 4, 7, 13, 24, 1, 14, 18, 3, 8, 12]"
"(24, 180)",[24]
"(24, 270)","[31, 30, 24]"
"(25, 0)","[17, 20, 11, 25, 34, 5, 23, 10, 15, 26, 33, 22, 16, 21, 28, 27, 32]"
"(25, 90)","[20, 5, 6, 0, 19, 25, 2, 9, 10, 15, 4, 7, 13, 1, 14, 18, 3, 8, 12]"
"(25, 180)","[25, 30, 24, 18]"
"(25, 270)","[31, 25, 32, 30]"
"(26, 0)","[17, 11, 34, 23, 26, 33, 22, 16, 21, 28, 27]"
"(26, 90)","[20, 5, 6, 0, 19, 2, 9, 10, 15, 21, 4, 7, 13, 16, 1, 11, 14, 26, 3, 8, 12]"
"(26, 180)","[31, 19, 25, 30, 24, 18, 26, 12]"
"(26, 270)","[31, 26, 33, 32]"
"(27, 0)","[28, 27]"
"(27, 90)","[20, 5, 6, 22, 0, 17, 2, 9, 10, 15, 21, 27, 4, 7, 13, 16, 1, 11, 14, 3, 8]"
"(27, 180)","[20, 31, 6, 19, 25, 27, 32, 13, 30, 24, 18, 26, 12]"
"(27, 270)","[34, 33, 27, 32]"
"(28, 0)","[29, 28]"
"(28, 90)","[5, 22, 0, 17, 2, 9, 10, 15, 21, 28, 4, 7, 23, 16, 1, 11, 14, 3, 8]"
"(28, 180)","[20, 31, 6, 0, 19, 25, 21, 28, 27, 32, 7, 13, 30, 24, 14, 18, 26, 33, 12]"
"(28, 270)","[34, 28]"
"(29, 0)",[29]
"(29, 90)","[29, 5, 22, 17, 2, 9, 10, 15, 4, 23, 16, 1, 11, 3, 8]"
"(29, 180)","[29, 28]"
"(29, 270)",[29]
"(30, 0)","[17, 20, 31, 11, 25, 34, 5, 23, 30, 10, 15, 26, 33, 22, 16, 21, 28, 27, 32]"
"(30, 90)","[20, 5, 6, 0, 19, 25, 2, 9, 10, 15, 4, 7, 13, 30, 24, 1, 14, 18, 3, 8, 12]"
"(30, 180)",[30]
"(30, 270)",[30]
"(31, 0)","[17, 31, 11, 34, 23, 26, 33, 22, 16, 21, 28, 27, 32]"
"(31, 90)","[20, 31, 5, 6, 0, 19, 25, 2, 9, 10, 15, 21, 4, 7, 13, 16, 24, 1, 11, 14, 18, 26, 3, 8, 12]"
"(31, 180)","[31, 30, 24]"
"(31, 270)",[31]
"(32, 0)","[34, 28, 27, 32, 33]"
"(32, 90)","[20, 5, 6, 22, 0, 17, 19, 25, 2, 9, 10, 15, 21, 27, 32, 4, 7, 13, 16, 1, 11, 14, 18, 26, 3, 8, 12]"
"(32, 180)","[31, 25, 32, 30, 24, 18]"
"(32, 270)",[32]
"(33, 0)","[34, 33]"
"(33, 90)","[4, 7, 20, 1, 19, 13, 14, 5, 6, 2, 9, 10, 15, 26, 33, 22, 16, 3, 8, 21, 28, 0, 12, 27]"
"(33, 180)","[31, 19, 25, 32, 30, 24, 18, 26, 33, 12]"
"(33, 270)",[33]
"(34, 0)",[34]
"(34, 90)","[34, 28]"
"(34, 180)","[20, 31, 6, 19, 25, 34, 27, 32, 13, 30, 24, 18, 26, 33, 12]"
"(34, 270)",[34]
